每100条平均值(ms),每1000条平均值(ms),每10000条平均值(ms),全部条平均值(ms)
159.24,,,74.00998438
230.46,,,74.00998438
232.06,,,74.00998438
203.43,,,74.00998438
171.99,,,74.00998438
129.25,,,74.00998438
88.21,,,74.00998438
42.04,,,74.00998438
20.59,,,74.00998438
13.23,129.05,,74.00998438
8.56,,,74.00998438
10.23,,,74.00998438
16.84,,,74.00998438
21.62,,,74.00998438
277.85,,,74.00998438
333.11,,,74.00998438
287.88,,,74.00998438
251.46,,,74.00998438
174.47,,,74.00998438
144.34,152.636,,74.00998438
88.06,,,74.00998438
8.21,,,74.00998438
29.34,,,74.00998438
93.45,,,74.00998438
119.01,,,74.00998438
263.98,,,74.00998438
404.71,,,74.00998438
456.63,,,74.00998438
463.58,,,74.00998438
434.98,236.195,,74.00998438
444.11,,,74.00998438
668.06,,,74.00998438
856.6,,,74.00998438
880.65,,,74.00998438
800.39,,,74.00998438
741.15,,,74.00998438
790.68,,,74.00998438
646.83,,,74.00998438
685.7,,,74.00998438
658.85,717.302,,74.00998438
774.78,,,74.00998438
772.57,,,74.00998438
719.17,,,74.00998438
754.57,,,74.00998438
533.96,,,74.00998438
561.14,,,74.00998438
386.37,,,74.00998438
481.66,,,74.00998438
542.24,,,74.00998438
363.15,588.961,,74.00998438
423,,,74.00998438
414.3,,,74.00998438
351.9,,,74.00998438
339.04,,,74.00998438
94.29,,,74.00998438
1.67,,,74.00998438
2.59,,,74.00998438
2.88,,,74.00998438
3.81,,,74.00998438
3.75,163.723,,74.00998438
1.67,,,74.00998438
3.09,,,74.00998438
2.17,,,74.00998438
1.89,,,74.00998438
2.43,,,74.00998438
2.78,,,74.00998438
14.1,,,74.00998438
47.03,,,74.00998438
26.62,,,74.00998438
3.11,10.489,,74.00998438
2.13,,,74.00998438
1.94,,,74.00998438
3.45,,,74.00998438
12.31,,,74.00998438
2.3,,,74.00998438
8.02,,,74.00998438
3.12,,,74.00998438
2.89,,,74.00998438
2.34,,,74.00998438
1.9,4.04,,74.00998438
2.23,,,74.00998438
2.32,,,74.00998438
60.35,,,74.00998438
48.07,,,74.00998438
528.09,,,74.00998438
1059.44,,,74.00998438
1290.84,,,74.00998438
1320.62,,,74.00998438
1349.97,,,74.00998438
1251.19,691.312,,74.00998438
1204.65,,,74.00998438
1170.99,,,74.00998438
1064.95,,,74.00998438
993.96,,,74.00998438
900.03,,,74.00998438
846.65,,,74.00998438
869.11,,,74.00998438
770.46,,,74.00998438
737.1,,,74.00998438
699.35,925.725,361.9433,74.00998438
630.35,,,74.00998438
614.07,,,74.00998438
554.74,,,74.00998438
615.96,,,74.00998438
319.59,,,74.00998438
196.15,,,74.00998438
65.41,,,74.00998438
7.44,,,74.00998438
2.75,,,74.00998438
1.53,300.799,,74.00998438
2.48,,,74.00998438
1.6,,,74.00998438
1.55,,,74.00998438
1.41,,,74.00998438
1.37,,,74.00998438
1.3,,,74.00998438
1.38,,,74.00998438
1.5,,,74.00998438
1.22,,,74.00998438
1.32,1.513,,74.00998438
8.1,,,74.00998438
1.41,,,74.00998438
1.34,,,74.00998438
1.42,,,74.00998438
1.38,,,74.00998438
1.54,,,74.00998438
1.33,,,74.00998438
1.23,,,74.00998438
1.19,,,74.00998438
1.14,2.008,,74.00998438
1.22,,,74.00998438
2.65,,,74.00998438
5.24,,,74.00998438
12.82,,,74.00998438
35.52,,,74.00998438
23.49,,,74.00998438
30.03,,,74.00998438
42.29,,,74.00998438
14.93,,,74.00998438
2.53,17.072,,74.00998438
1.33,,,74.00998438
3.8,,,74.00998438
1.44,,,74.00998438
1.38,,,74.00998438
99.33,,,74.00998438
148.17,,,74.00998438
86.7,,,74.00998438
3.88,,,74.00998438
1.3,,,74.00998438
1.36,34.869,,74.00998438
1.24,,,74.00998438
1.28,,,74.00998438
1.45,,,74.00998438
4.95,,,74.00998438
1.69,,,74.00998438
1.37,,,74.00998438
1.19,,,74.00998438
1.27,,,74.00998438
1.3,,,74.00998438
5.04,2.078,,74.00998438
1.2,,,74.00998438
1.45,,,74.00998438
1.35,,,74.00998438
1.26,,,74.00998438
1.3,,,74.00998438
1.28,,,74.00998438
2.69,,,74.00998438
4.06,,,74.00998438
1.25,,,74.00998438
1.52,1.736,,74.00998438
1.29,,,74.00998438
1.24,,,74.00998438
1.26,,,74.00998438
1.3,,,74.00998438
1.39,,,74.00998438
1.26,,,74.00998438
6.26,,,74.00998438
22.85,,,74.00998438
36.54,,,74.00998438
15.62,8.901,,74.00998438
5.71,,,74.00998438
7.67,,,74.00998438
17.34,,,74.00998438
44.14,,,74.00998438
43.55,,,74.00998438
27.9,,,74.00998438
1.32,,,74.00998438
1.33,,,74.00998438
1.22,,,74.00998438
1.27,15.145,,74.00998438
1.29,,,74.00998438
1.16,,,74.00998438
1.32,,,74.00998438
1.66,,,74.00998438
1.41,,,74.00998438
1.21,,,74.00998438
3.77,,,74.00998438
1.27,,,74.00998438
1.27,,,74.00998438
1.12,1.548,38.5669,74.00998438
1.19,,,74.00998438
1.37,,,74.00998438
1.18,,,74.00998438
1.19,,,74.00998438
1.32,,,74.00998438
1.93,,,74.00998438
1.18,,,74.00998438
1.42,,,74.00998438
1.2,,,74.00998438
2.27,1.425,,74.00998438
1.37,,,74.00998438
1.35,,,74.00998438
1.51,,,74.00998438
1.32,,,74.00998438
1.26,,,74.00998438
1.49,,,74.00998438
1.31,,,74.00998438
1.47,,,74.00998438
4.52,,,74.00998438
1.47,1.707,,74.00998438
15.57,,,74.00998438
7.31,,,74.00998438
66.04,,,74.00998438
56.83,,,74.00998438
11.13,,,74.00998438
19.67,,,74.00998438
8.22,,,74.00998438
1.87,,,74.00998438
1.3,,,74.00998438
1.23,18.917,,74.00998438
1.24,,,74.00998438
1.21,,,74.00998438
1.35,,,74.00998438
1.26,,,74.00998438
1.3,,,74.00998438
1.3,,,74.00998438
4.8,,,74.00998438
1.32,,,74.00998438
1.25,,,74.00998438
1.5,1.653,,74.00998438
1.36,,,74.00998438
2.12,,,74.00998438
3.75,,,74.00998438
1.26,,,74.00998438
1.34,,,74.00998438
1.25,,,74.00998438
1.2,,,74.00998438
1.24,,,74.00998438
1.22,,,74.00998438
7.43,2.217,,74.00998438
1.36,,,74.00998438
1.19,,,74.00998438
1.28,,,74.00998438
1.31,,,74.00998438
1.21,,,74.00998438
1.5,,,74.00998438
1.4,,,74.00998438
1.66,,,74.00998438
4.35,,,74.00998438
2.03,1.729,,74.00998438
7.65,,,74.00998438
8.54,,,74.00998438
6.6,,,74.00998438
11.48,,,74.00998438
10.35,,,74.00998438
30.14,,,74.00998438
6.19,,,74.00998438
1.48,,,74.00998438
1.53,,,74.00998438
1.58,8.554,,74.00998438
1.62,,,74.00998438
2,,,74.00998438
1.41,,,74.00998438
1.61,,,74.00998438
6.73,,,74.00998438
1.98,,,74.00998438
1.62,,,74.00998438
1.46,,,74.00998438
1.56,,,74.00998438
2.37,2.236,,74.00998438
1.72,,,74.00998438
1.44,,,74.00998438
1.27,,,74.00998438
1.46,,,74.00998438
1.4,,,74.00998438
1.4,,,74.00998438
1.6,,,74.00998438
1.52,,,74.00998438
1.54,,,74.00998438
1.6,1.495,,74.00998438
7.96,,,74.00998438
1.71,,,74.00998438
1.36,,,74.00998438
1.38,,,74.00998438
1.23,,,74.00998438
1.56,,,74.00998438
1.72,,,74.00998438
1.68,,,74.00998438
2.15,,,74.00998438
5.88,2.663,4.2596,74.00998438
62.49,,,74.00998438
39.97,,,74.00998438
3.6,,,74.00998438
12.27,,,74.00998438
6.32,,,74.00998438
9,,,74.00998438
16.98,,,74.00998438
67.93,,,74.00998438
26.65,,,74.00998438
2.07,24.728,,74.00998438
24.34,,,74.00998438
14.82,,,74.00998438
1.33,,,74.00998438
1.53,,,74.00998438
1.34,,,74.00998438
2.14,,,74.00998438
1.21,,,74.00998438
5.55,,,74.00998438
2.71,,,74.00998438
1.69,5.666,,74.00998438
1.5,,,74.00998438
1.6,,,74.00998438
3.24,,,74.00998438
1.89,,,74.00998438
1.39,,,74.00998438
4.12,,,74.00998438
1.9,,,74.00998438
1.89,,,74.00998438
1.24,,,74.00998438
1.27,2.004,,74.00998438
2.37,,,74.00998438
1.21,,,74.00998438
1.29,,,74.00998438
1.99,,,74.00998438
2.39,,,74.00998438
1.25,,,74.00998438
1.52,,,74.00998438
1.21,,,74.00998438
6.59,,,74.00998438
3.31,2.313,,74.00998438
40.14,,,74.00998438
90.6,,,74.00998438
39.91,,,74.00998438
9.43,,,74.00998438
24.42,,,74.00998438
32.6,,,74.00998438
4.11,,,74.00998438
21.73,,,74.00998438
21.38,,,74.00998438
11.08,29.54,,74.00998438
7.3,,,74.00998438
38.58,,,74.00998438
146.87,,,74.00998438
141.16,,,74.00998438
88.72,,,74.00998438
72.95,,,74.00998438
18.3,,,74.00998438
3.16,,,74.00998438
5.92,,,74.00998438
1.49,52.445,,74.00998438
3,,,74.00998438
2.01,,,74.00998438
3.44,,,74.00998438
8.81,,,74.00998438
2.74,,,74.00998438
2.42,,,74.00998438
1.49,,,74.00998438
1.39,,,74.00998438
3.02,,,74.00998438
3.69,3.201,,74.00998438
1.68,,,74.00998438
1.39,,,74.00998438
1.51,,,74.00998438
1.54,,,74.00998438
1.53,,,74.00998438
5.64,,,74.00998438
3.33,,,74.00998438
2.74,,,74.00998438
4.49,,,74.00998438
3.46,2.731,,74.00998438
3.32,,,74.00998438
4.92,,,74.00998438
4.03,,,74.00998438
4.32,,,74.00998438
2.01,,,74.00998438
2.42,,,74.00998438
2.69,,,74.00998438
3.82,,,74.00998438
3.45,,,74.00998438
1.64,3.262,,74.00998438
1.82,,,74.00998438
2.87,,,74.00998438
2.37,,,74.00998438
3.7,,,74.00998438
3.34,,,74.00998438
3.92,,,74.00998438
9.12,,,74.00998438
31.91,,,74.00998438
9.96,,,74.00998438
12.34,8.135,13.4025,74.00998438
33.27,,,74.00998438
96.67,,,74.00998438
258.85,,,74.00998438
202.02,,,74.00998438
131.22,,,74.00998438
80.9,,,74.00998438
35.77,,,74.00998438
42.1,,,74.00998438
14.01,,,74.00998438
9.88,90.469,,74.00998438
18.73,,,74.00998438
3.87,,,74.00998438
1.56,,,74.00998438
1.94,,,74.00998438
2.28,,,74.00998438
1.47,,,74.00998438
2.3,,,74.00998438
3.78,,,74.00998438
1.88,,,74.00998438
4.49,4.23,,74.00998438
1.96,,,74.00998438
1.45,,,74.00998438
1.28,,,74.00998438
1.5,,,74.00998438
4.2,,,74.00998438
1.23,,,74.00998438
1.36,,,74.00998438
1.74,,,74.00998438
1.55,,,74.00998438
1.7,1.797,,74.00998438
1.42,,,74.00998438
1.55,,,74.00998438
1.66,,,74.00998438
3.15,,,74.00998438
3.06,,,74.00998438
1.4,,,74.00998438
2.06,,,74.00998438
1.69,,,74.00998438
2.36,,,74.00998438
1.77,2.012,,74.00998438
1.4,,,74.00998438
1.87,,,74.00998438
1.31,,,74.00998438
1.5,,,74.00998438
3.63,,,74.00998438
1.34,,,74.00998438
1.33,,,74.00998438
1.32,,,74.00998438
1.3,,,74.00998438
1.44,1.644,,74.00998438
5.16,,,74.00998438
3.01,,,74.00998438
4.96,,,74.00998438
15.09,,,74.00998438
37.8,,,74.00998438
57.6,,,74.00998438
76.55,,,74.00998438
46.58,,,74.00998438
20.65,,,74.00998438
7.44,27.484,,74.00998438
1.42,,,74.00998438
22.59,,,74.00998438
13.9,,,74.00998438
1.29,,,74.00998438
1.19,,,74.00998438
1.26,,,74.00998438
2.02,,,74.00998438
3.34,,,74.00998438
1.51,,,74.00998438
1.47,4.999,,74.00998438
1.35,,,74.00998438
9.15,,,74.00998438
3.84,,,74.00998438
1.28,,,74.00998438
1.21,,,74.00998438
1.32,,,74.00998438
4.29,,,74.00998438
2.55,,,74.00998438
1.31,,,74.00998438
1.21,2.751,,74.00998438
1.33,,,74.00998438
1.25,,,74.00998438
1.82,,,74.00998438
1.28,,,74.00998438
1.55,,,74.00998438
1.37,,,74.00998438
1.46,,,74.00998438
6.17,,,74.00998438
1.34,,,74.00998438
1.62,1.919,,74.00998438
1.18,,,74.00998438
1.22,,,74.00998438
1.68,,,74.00998438
1.22,,,74.00998438
1.34,,,74.00998438
1.08,,,74.00998438
1.3,,,74.00998438
1.39,,,74.00998438
1.07,,,74.00998438
1.21,1.269,13.8574,74.00998438
2.81,,,74.00998438
4.27,,,74.00998438
5.71,,,74.00998438
1.55,,,74.00998438
1.75,,,74.00998438
3.8,,,74.00998438
13.51,,,74.00998438
11.98,,,74.00998438
75.58,,,74.00998438
128.21,24.917,,74.00998438
107.9,,,74.00998438
133.65,,,74.00998438
128,,,74.00998438
102.42,,,74.00998438
99.98,,,74.00998438
83.69,,,74.00998438
21.16,,,74.00998438
12.19,,,74.00998438
2.39,,,74.00998438
1.42,69.28,,74.00998438
1.15,,,74.00998438
1.33,,,74.00998438
1.23,,,74.00998438
1.27,,,74.00998438
1.27,,,74.00998438
1.3,,,74.00998438
1.13,,,74.00998438
1.12,,,74.00998438
1.17,,,74.00998438
1.21,1.218,,74.00998438
1.14,,,74.00998438
11.1,,,74.00998438
1.65,,,74.00998438
2.92,,,74.00998438
13.27,,,74.00998438
1.73,,,74.00998438
1.26,,,74.00998438
1.23,,,74.00998438
1.12,,,74.00998438
1.33,3.675,,74.00998438
1.08,,,74.00998438
1.21,,,74.00998438
1.06,,,74.00998438
1.06,,,74.00998438
1.13,,,74.00998438
1.14,,,74.00998438
1.13,,,74.00998438
1.12,,,74.00998438
1.27,,,74.00998438
1.92,1.212,,74.00998438
1.37,,,74.00998438
4.16,,,74.00998438
3.74,,,74.00998438
5.21,,,74.00998438
1.97,,,74.00998438
1.66,,,74.00998438
1.25,,,74.00998438
1.25,,,74.00998438
1.24,,,74.00998438
1.35,2.32,,74.00998438
1.54,,,74.00998438
1.92,,,74.00998438
2.33,,,74.00998438
1.68,,,74.00998438
1.95,,,74.00998438
1.29,,,74.00998438
1.24,,,74.00998438
1.25,,,74.00998438
1.13,,,74.00998438
1.23,1.556,,74.00998438
1.09,,,74.00998438
1.24,,,74.00998438
1.18,,,74.00998438
1.1,,,74.00998438
2.19,,,74.00998438
4.06,,,74.00998438
1.8,,,74.00998438
1.7,,,74.00998438
4.71,,,74.00998438
2.03,2.11,,74.00998438
1.11,,,74.00998438
1.15,,,74.00998438
2.46,,,74.00998438
1.18,,,74.00998438
1.19,,,74.00998438
1.12,,,74.00998438
1.09,,,74.00998438
1.11,,,74.00998438
1.16,,,74.00998438
1.28,1.285,,74.00998438
1.56,,,74.00998438
1.39,,,74.00998438
7.24,,,74.00998438
21.45,,,74.00998438
101.32,,,74.00998438
277.76,,,74.00998438
342.96,,,74.00998438
405.94,,,74.00998438
368.1,,,74.00998438
360.94,188.866,29.6439,74.00998438
294.11,,,74.00998438
294.51,,,74.00998438
204.83,,,74.00998438
179.62,,,74.00998438
135.73,,,74.00998438
30.86,,,74.00998438
1.08,,,74.00998438
1.67,,,74.00998438
1.37,,,74.00998438
1.14,114.492,,74.00998438
1.07,,,74.00998438
1.28,,,74.00998438
2.01,,,74.00998438
1.24,,,74.00998438
1.4,,,74.00998438
10.1,,,74.00998438
3.67,,,74.00998438
1.48,,,74.00998438
2.4,,,74.00998438
1.35,2.6,,74.00998438
1.12,,,74.00998438
1.09,,,74.00998438
1.09,,,74.00998438
1.03,,,74.00998438
1.19,,,74.00998438
1.15,,,74.00998438
1.12,,,74.00998438
1.14,,,74.00998438
1.31,,,74.00998438
1.33,1.157,,74.00998438
1.19,,,74.00998438
2.49,,,74.00998438
3.95,,,74.00998438
1.02,,,74.00998438
1.06,,,74.00998438
1.06,,,74.00998438
1.05,,,74.00998438
2.45,,,74.00998438
1.05,,,74.00998438
1.22,1.654,,74.00998438
